,Unnamed: 0,age,comment,likes/views,link,promo,user
7,7,JUNE 7,"Spent most of the day remaking an episode of Four Weddings on my stories! If you’re one of the 6 other people who watch it, you’ll love it!","5,104,011",/Bya-pT_BhJw/,1,chrissyteigen
11,11,JUNE 6,I didn’t have *a* drink. I had all of them. My idea was to get everyone drunk so we could win but we accidentally drank it all on my team. Number one answer for this: karma 😩😩😩😩,"4,104,007",/ByXA6tTB_oq/,1,chrissyteigen
19,19,MAY 30,"One of the most memorable lip sync battles EVER!!! Luna had never been so happy in her life. We’ll be watching and reliving TOOOOnight!! Get ready for big bird VS jason schwartzman, tonight on @paramountnetwork, 10/9c!! @lipsyncbattle 💛","377,402 likes",/ByG8oe8BD3G/,1,chrissyteigen
22,22,4 DAYS AGO,"When we win, it won’t be by ourselves. #betrue #untilweallwin
⠀
@casterSemenya800m @TheChrisMosier @ScoutBassett @KerronClement @MarkMcKenzie4 @EricKoston @Elissa_Steamer @Daaarkness @SBird10 @BrittneyYvetteGriner @jaeecan @Jewellloyd","619,284",/Byp-5gXAHdb/,1,nike
23,23,JUNE 9,"Crazy dreams take crazy effort.
⠀
18 career majors. 12 French titles. Congratulations @rafaelnadal. #justdoit","3,661,892",/Byfs_lCAGhc/,1,nike
24,24,JUNE 7,"“Whatever happens, we’re a team. In defeat as much as in victory. It’s impossible to win by yourself.” @amandine_henry
⠀
When Amandine Henry and her teammates were young, they could only dream of an opportunity like this.
⠀
Today, that dream becomes reality.
⠀
Don’t change your dream. Change the world. #justdoit","292,107 likes",/ByavX9Bgoii/,1,nike
25,25,JUNE 3,"“Even if I were born again, I’d still play football.” @ji_soyun10
⠀
Ji So-Yun's dream isn’t to be one of the best female football players in the world.
⠀
Ji dreams of becoming one of the best players in the world, period. #justdoit","180,097 likes",/ByRHbJIg5_d/,1,nike
26,26,JUNE 1,"“It’s important for girls to believe in themselves, because if you believe in yourself that means you can do anything.” - Makena, Age 9, #justdoit","470,552 likes",/ByK3evuAuCw/,1,nike
27,27,MAY 27,"@amandine_henry: It’s impossible to win by yourself.

“Whatever happens, we’re a team. In defeat, as much as in victory. It’s impossible to win by yourself. Impossible. And I think that, if you perform well individually, you’ll perform well collectively.”
⠀
French midfield general Amandine Henry knows it takes a whole team to win and now, as captain of her country, she’s not afraid to lead that team.
⠀
Don’t change your dream. Change the world. #justdoit","1,693,497",/Bx_kxIxAKDA/,1,nike
28,28,MAY 25,"@liekemartens: Create your own path.

“I’m really happy to be able to inspire the next generation of girls. That they now have female role models, and can see what they can achieve so that they’ll work hard and eventually follow in my footsteps.”
⠀
As a child Netherlands’ star Lieke Martens told everyone she wanted to become a professional footballer. When they replied: “Dream on, girl” that’s exactly what she did.
⠀
Don’t change your dream. Change the world. #justdoit","2,401,306",/Bx6bJQcA4xr/,1,nike
