,Unnamed: 0,age,comment,likes/views,link,promo,user
0,0,2 DAYS AGO,found my new favorite park!,"405,059 likes",/BytNlrQhRx8/,0,chrissyteigen
1,1,3 DAYS AGO,Happy bebe!,"1,739,218",/Byqz8uZh73s/,0,chrissyteigen
2,2,5 DAYS AGO,coated in a paste of fresh garlic and filled with herbs. we collectively eat 6 of these fish a week. I’m so proud Luna loves it!!!,"2,931,603",/BymErW1B9eL/,0,chrissyteigen
3,3,5 DAYS AGO,this kid,"371,095 likes",/Byl-aHjBXFX/,0,chrissyteigen
4,4,JUNE 8,home tomorrow 😩,"859,039 likes",/ByduG0BB_A3/,0,chrissyteigen
5,5,JUNE 7,I love this girl,"388,480 likes",/BybNlyghZmR/,0,chrissyteigen
6,6,JUNE 7,🍝 class!,"452,925 likes",/BybEeA6BmkQ/,0,chrissyteigen
8,8,JUNE 6,truffle hunting! luna calling for the genius truffle pup.,"2,290,923",/ByYbN5JB50W/,0,chrissyteigen
9,9,JUNE 6,soon!!,"546,094 likes",/ByYadSdB3V8/,0,chrissyteigen
10,10,JUNE 6,Versailles - the breathtaking wedding of Lang Lang and Gina! Such an incredibly beautiful and talented couple!!,"791,265 likes",/ByYUAW2h5wy/,0,chrissyteigen
12,12,JUNE 5,siena!,"908,369 likes",/ByWEjaMh5Z5/,0,chrissyteigen
13,13,JUNE 4,I think someone’s gonna take his first steps in Italy! oh dear,"842,405 likes",/ByTqoNMhvhi/,0,chrissyteigen
14,14,JUNE 4,Luna has the very strong belief that only girls can be beautiful and only boys can be cute.,"6,386,264",/ByTN8QABCDk/,0,chrissyteigen
15,15,JUNE 3,da bears!,"1,217,652 likes",/ByQl6rSh02u/,0,chrissyteigen
16,16,JUNE 3,we have reached a settlement.,"7,439,240",/ByQM8J3hYXL/,0,chrissyteigen
17,17,JUNE 3,candy court is in session. part 1/2.,"6,585,898",/ByQMVBRh0sh/,0,chrissyteigen
18,18,JUNE 3,bonjour!,"1,075,832 likes",/ByPjvcIhFmi/,0,chrissyteigen
20,20,MAY 30,I love this age,"4,862,173",/ByGqZBtBUhY/,0,chrissyteigen
21,21,MAY 27,💕,"407,497 likes",/Bx_aCnah18o/,0,chrissyteigen
47,47,3 DAYS AGO,🌽 Iowa 🌽,"103,261",/BysWlXjnY6o/,0,pete.buttigieg
48,48,3 DAYS AGO,The most important job of any elected leader is to call people to their highest values and to bring them together in pursuit of our highest goals. No leader can do this alone.,"47,794 likes",/Byq76z4H1dj/,0,pete.buttigieg
50,50,4 DAYS AGO,It doesn’t matter how you get there... #WinTheEra,"107,441",/BypzN73nCij/,0,pete.buttigieg
51,51,4 DAYS AGO,Community is where we find our strength.,"28,033 likes",/ByoU3DsnwPB/,0,pete.buttigieg
54,54,5 DAYS AGO,Any requests?,"79,980 likes",/Byl_7z4n3rQ/,0,pete.buttigieg
55,55,5 DAYS AGO,👀,"19,897 likes",/Byk9tWXHKKY/,0,pete.buttigieg
57,57,7 DAYS AGO,🤝 in Iowa,"33,887 likes",/ByiDZyWHCpc/,0,pete.buttigieg
59,59,JUNE 8,Matthew Shepard's death forced America to confront deadly homophobia. Lifting up the next generation of LGBTQ leaders is a tribute to his life and legacy. It was an honor to participate in last night's presentation of Iowa's Matthew Shepard Scholarships.,"35,803 likes",/Byd-4H0nUVY/,0,pete.buttigieg
60,60,JUNE 8,👕,"38,782 likes",/BydULfJHwl-/,0,pete.buttigieg
62,62,JUNE 7,"Just one week after performing at Obama's inauguration in 2013, Hadiya Pendleton was killed blocks from her school. She was 15. Today we #WearOrange to honor her and all victims of gun violence, and show unity around the insistence that this cannot remain our reality.","88,489 likes",/Bya9m5Knv-w/,0,pete.buttigieg
63,63,JUNE 7,"Less than two generations ago, Rev. Martin Luther King Jr. implored America from this pulpit to live up to its values. I appreciate Ebenezer Baptist Church's Rev. Raphael Warnock taking the time to show me such an important piece of our history.","31,400 likes",/ByaV8pRHlDH/,0,pete.buttigieg
64,64,JUNE 6,On a clear day you can see forever.,"66,066 likes",/ByYchR5ncyB/,0,pete.buttigieg
65,65,JUNE 6,Even the littlest voices deserve to be heard.,"72,212 likes",/ByXveM2H8eP/,0,pete.buttigieg
68,68,JUNE 4,It’s about people.,"28,293 likes",/ByTPMcLnV3k/,0,pete.buttigieg
69,69,JUNE 4,Behind the scenes at this week’s #PeteRetreat,"30,994 likes",/BySyfEQnuoN/,0,pete.buttigieg
70,70,JUNE 3,😊,"23,872 likes",/ByQidtsHVTt/,0,pete.buttigieg
72,72,1 DAY AGO,Miss you.,"598,498 likes",/ByxogEbltB2/,0,kourtneykardash
73,73,2 DAYS AGO,good at literally everything,"935,075 likes",/BytOxBFlfHG/,0,kourtneykardash
75,75,6 DAYS AGO,baby shark,"6,867,620",/ByilQ9OlL7T/,0,kourtneykardash
76,76,JUNE 6,natural beauty,"562,813 likes",/ByYfFLhFO56/,0,kourtneykardash
80,80,JUNE 4,"Right before @kendalljenner got sick of me sharing her bedroom, bathroom, bathrobe, wardrobe, and bed with her ... she’ll be begging me to come back soon.","1,204,302 likes",/ByTHfAvF9oV/,0,kourtneykardash
81,81,JUNE 3,Catching up on some reading.,"1,102,648 likes",/ByQoa3Vlrrq/,0,kourtneykardash
83,83,MAY 30,40-year-old virgin,"1,756,742 likes",/ByGE8NRFqeV/,0,kourtneykardash
87,87,MAY 27,happy,"636,069 likes",/Bx_GcEulqMS/,0,kourtneykardash
90,90,MAY 24,"My absolute favorite photo from Kanye and Kim’s wedding is this one of Mason. We couldn’t find him, it was almost time to walk down the aisle and he was the ring bearer. We finally found him asleep underneath a table in the back room in the old Italian fortress where we were all getting ready. My baby is so big now 😫 Penelope was just a baby at the wedding and Reign was in my tummy but nobody knew yet. Happy five year anniversary! ❤️","1,623,996 likes",/Bx2VrfIlYZr/,0,kourtneykardash
93,93,MAY 21,love me,"1,386,323 likes",/BxwEuCClvGq/,0,kourtneykardash
94,94,MAY 20,say tequila 📸,"644,993 likes",/Bxs69i_lonl/,0,kourtneykardash
95,95,6 DAYS AGO,"“Cultural appreciation”, rather than “Cultural appropriation.” Hanbok is soo beautiful!! 😍🌎🎎 #repost - guess I was daydreaming and deleted my photo by accident. 🙄
.
.
.
.#korea#soeul#hanbok#outfit#travel#amazing#fashion#gorgeous#asian#culture#chinese#losangeles#summer#love#tbt#throwback#beautiful#beauty#photoshoot#model#lifestyle#style#dailylook",180 likes,/ByjQr-LhkoV/,0,lin_leelovesfashion
96,96,JUNE 6,"Double thumbs up for the breathtaking view on top of the Xianggong Mountain! 🌎🙌🏼
.
.
.
.
.#china#travel#guilin#yangshuo#nature#hike#fitness#fit#amazing#beauty#view#beautiful#chinesegirl#losangeles#wanderlust#vacation#instadaily#motivation#beautiful#lifestyle#style#sports#love#gorgeous",198 likes,/ByY6eIzhmIT/,0,lin_leelovesfashion
