,age,comment,likes/views,link,promo,user
0,2 DAYS AGO,found my new favorite park!,"405,059 likes",/BytNlrQhRx8/,0,chrissyteigen
1,3 DAYS AGO,Happy bebe!,"1,739,218",/Byqz8uZh73s/,0,chrissyteigen
2,5 DAYS AGO,coated in a paste of fresh garlic and filled with herbs. we collectively eat 6 of these fish a week. I’m so proud Luna loves it!!!,"2,931,603",/BymErW1B9eL/,0,chrissyteigen
3,5 DAYS AGO,this kid,"371,095 likes",/Byl-aHjBXFX/,0,chrissyteigen
4,JUNE 8,home tomorrow 😩,"859,039 likes",/ByduG0BB_A3/,0,chrissyteigen
5,JUNE 7,I love this girl,"388,480 likes",/BybNlyghZmR/,0,chrissyteigen
6,JUNE 7,🍝 class!,"452,925 likes",/BybEeA6BmkQ/,0,chrissyteigen
7,JUNE 7,"Spent most of the day remaking an episode of Four Weddings on my stories! If you’re one of the 6 other people who watch it, you’ll love it!","5,104,011",/Bya-pT_BhJw/,1,chrissyteigen
8,JUNE 6,truffle hunting! luna calling for the genius truffle pup.,"2,290,923",/ByYbN5JB50W/,0,chrissyteigen
9,JUNE 6,soon!!,"546,094 likes",/ByYadSdB3V8/,0,chrissyteigen
10,JUNE 6,Versailles - the breathtaking wedding of Lang Lang and Gina! Such an incredibly beautiful and talented couple!!,"791,265 likes",/ByYUAW2h5wy/,0,chrissyteigen
11,JUNE 6,I didn’t have *a* drink. I had all of them. My idea was to get everyone drunk so we could win but we accidentally drank it all on my team. Number one answer for this: karma 😩😩😩😩,"4,104,007",/ByXA6tTB_oq/,1,chrissyteigen
12,JUNE 5,siena!,"908,369 likes",/ByWEjaMh5Z5/,0,chrissyteigen
13,JUNE 4,I think someone’s gonna take his first steps in Italy! oh dear,"842,405 likes",/ByTqoNMhvhi/,0,chrissyteigen
14,JUNE 4,Luna has the very strong belief that only girls can be beautiful and only boys can be cute.,"6,386,264",/ByTN8QABCDk/,0,chrissyteigen
15,JUNE 3,da bears!,"1,217,652 likes",/ByQl6rSh02u/,0,chrissyteigen
16,JUNE 3,we have reached a settlement.,"7,439,240",/ByQM8J3hYXL/,0,chrissyteigen
17,JUNE 3,candy court is in session. part 1/2.,"6,585,898",/ByQMVBRh0sh/,0,chrissyteigen
18,JUNE 3,bonjour!,"1,075,832 likes",/ByPjvcIhFmi/,0,chrissyteigen
19,MAY 30,"One of the most memorable lip sync battles EVER!!! Luna had never been so happy in her life. We’ll be watching and reliving TOOOOnight!! Get ready for big bird VS jason schwartzman, tonight on @paramountnetwork, 10/9c!! @lipsyncbattle 💛","377,402 likes",/ByG8oe8BD3G/,1,chrissyteigen
20,MAY 30,I love this age,"4,862,173",/ByGqZBtBUhY/,0,chrissyteigen
21,MAY 27,💕,"407,497 likes",/Bx_aCnah18o/,0,chrissyteigen
22,4 DAYS AGO,"When we win, it won’t be by ourselves. #betrue #untilweallwin
⠀
@casterSemenya800m @TheChrisMosier @ScoutBassett @KerronClement @MarkMcKenzie4 @EricKoston @Elissa_Steamer @Daaarkness @SBird10 @BrittneyYvetteGriner @jaeecan @Jewellloyd","619,284",/Byp-5gXAHdb/,1,nike
23,JUNE 9,"Crazy dreams take crazy effort.
⠀
18 career majors. 12 French titles. Congratulations @rafaelnadal. #justdoit","3,661,892",/Byfs_lCAGhc/,1,nike
24,JUNE 7,"“Whatever happens, we’re a team. In defeat as much as in victory. It’s impossible to win by yourself.” @amandine_henry
⠀
When Amandine Henry and her teammates were young, they could only dream of an opportunity like this.
⠀
Today, that dream becomes reality.
⠀
Don’t change your dream. Change the world. #justdoit","292,107 likes",/ByavX9Bgoii/,1,nike
25,JUNE 3,"“Even if I were born again, I’d still play football.” @ji_soyun10
⠀
Ji So-Yun's dream isn’t to be one of the best female football players in the world.
⠀
Ji dreams of becoming one of the best players in the world, period. #justdoit","180,097 likes",/ByRHbJIg5_d/,1,nike
26,JUNE 1,"“It’s important for girls to believe in themselves, because if you believe in yourself that means you can do anything.” - Makena, Age 9, #justdoit","470,552 likes",/ByK3evuAuCw/,1,nike
27,MAY 27,"@amandine_henry: It’s impossible to win by yourself.

“Whatever happens, we’re a team. In defeat, as much as in victory. It’s impossible to win by yourself. Impossible. And I think that, if you perform well individually, you’ll perform well collectively.”
⠀
French midfield general Amandine Henry knows it takes a whole team to win and now, as captain of her country, she’s not afraid to lead that team.
⠀
Don’t change your dream. Change the world. #justdoit","1,693,497",/Bx_kxIxAKDA/,1,nike
28,MAY 25,"@liekemartens: Create your own path.

“I’m really happy to be able to inspire the next generation of girls. That they now have female role models, and can see what they can achieve so that they’ll work hard and eventually follow in my footsteps.”
⠀
As a child Netherlands’ star Lieke Martens told everyone she wanted to become a professional footballer. When they replied: “Dream on, girl” that’s exactly what she did.
⠀
Don’t change your dream. Change the world. #justdoit","2,401,306",/Bx6bJQcA4xr/,1,nike
29,MAY 24,"“One of the biggest things is just trusting yourself.” @naomiosaka
⠀
Just because your situation changes doesn’t mean you have to. #justdoit","249,998 likes",/Bx2ej7WlCxF/,1,nike
30,MAY 23,"@frankirby: Find your joy.

“Find your joy and make sure that you give 100 percent in everything you do.”
⠀
England striker Fran Kirby never changed her dream of playing for England even though there was a time she fell out of love with football. But her dream was always there and she rediscovered her love for the game. This summer, she prepares to return with the Lionesses again on the world’s biggest stage.
⠀
Don’t change your dream. Change the world. #justdoit","1,957,423",/Bx1Sh6nlrVL/,1,nike
31,MAY 23,"@carogarcia: Dream Crazier

“He’s always trying to push me because he knows I’m going to improve.” @carogarcia

Sometimes your first coach is your best one.

Caroline's father has guided her from her first tournament to her latest one. Challenging her and comforting her. Pushing her and patting her on the back. Celebrating and commiserating.

Traditionally, elite tennis players move on. They “grow up” and work with someone else. Obviously, Caroline is anything but traditional. #justdoit","1,224,484",/BxzrD13FP_I/,1,nike
32,MAY 21,"@sara.daebritz13: Talent is not enough

""Talent is not enough, it's important to be determined and disciplined.""
⠀
German midfielder Sara Däbritz always knew she was going to turn her childhood dream of becoming a professional footballer into a reality. So now it’s time for a new dream: that women’s games will sell out stadiums.
⠀
Don’t change your dream. Change the world. #justdoit","1,382,593",/BxwI91QlmCY/,1,nike
33,MAY 20,"@simonahalep: Dream Crazier

“If you look around the tennis world, all of the players are much taller than me. But I don’t feel small.” @simonahalep
⠀
As a child, when Simona Halep told the world that she wanted to be the next great tennis player, they laughed at her. They said that she was too small.
⠀
You know what Simona told us? They were right. Size matters.
⠀
But it isn’t height or weight that counts. It's the size of your heart. #justdoit","2,638,669",/BxsAqJCF23_/,1,nike
34,MAY 16,"@jasondayofficial: Dream Crazier

“There was a time where my Mom was using a kettle to warm up water so we could have showers.” @jasondayofficial
⠀
You don’t have to have much to have a dream.
⠀
When Jason Day was a kid, he didn’t have a bag full of fancy clubs. He didn’t have a country club membership. And at times, he didn’t even have hot water.
⠀
But none of that stopped him from the chase. #justdoit","1,455,457",/Bxh56tvFiiQ/,1,nike
35,MAY 15,This is what it looks like to be one of the world’s best tuberiders. #justdoit,"756,780",/BxfTLgBhWW3/,1,nike
36,APRIL 29,"@alexroca91: Dream Crazier

“No one can ever say you can’t do something. If I fail, I’ll see that for myself. But let me try, let me fly, and I’ll find out.”
⠀
Ever since he was a kid, @AlexRoca91’s Crazy Dream was always there. At first, doctors said he was crazy to even walk. Now he’s training to become the first athlete with cerebral palsy to finish the 600km Titan Desert Race, one of the toughest races on the planet. #justdoit","2,019,254",/Bw2FdPOHxHs/,1,nike
37,APRIL 28,"“Believe in yourself and trust that your mind and heart can break barriers.” @kipchogeeliud
⠀
It takes more than elite endurance to win a world championship. More than a timely kick to take home a gold medal. More than a stubborn work ethic to break a world record.
⠀
It takes a whole lot of belief. And that same belief carried Eliud Kipchoge to win today in London. #justdoit","393,006 likes",/BwzBHPMlfH4/,1,nike
38,APRIL 27,"Mo Farah: Dream Crazier

“Most people think that there is a limit, but there is always more.” @gomofarah
⠀
For most people, this isn’t what retirement looks like. Most people relax. They spend less time on the road and more time at home. Most people slow down.
⠀
Obviously, Mo Farah is not most people. #justdoit","2,211,986",/Bww8uyZlwHl/,1,nike
39,APRIL 14,Never stop chasing your crazy dream. #justdoit,"12,915,607",/BwPv2G-l4Jf/,1,nike
40,APRIL 13,"“It is great to see the trend of women coming to the marathon, taking on the challenge and really growing with it.” - @paula_radcliffe
⠀
Tomorrow, 60,000 runners will line up in Paris. That’s 60,000 runners who’ve committed weekends, early mornings, late nights, some sanity, and a few toenails to run 26.2 miles. Yeah, they’ve given up a lot. But it’s nothing compared to what they’ve gained.
⠀
Follow @nikerunning to support @voltwomen. #justdoit","391,008 likes",/BwNs0GeFLwF/,1,nike
41,MARCH 22,This is what it looks like to be a two-time figure skating Olympic medalist. @jmedvedevaj #justdoit,"3,208,249",/BvUQXO_lf4U/,1,nike
42,MARCH 21,"@jmedvedevaj: Dream Crazier

“The most important thing for me is to do everything from the heart.”
⠀
Evgenia Medvedeva’s crazy dream isn’t to win a world championship. She’s done that, twice. It isn’t to make it to the Olympics. She’s brought home two medals. It isn’t even to break a world record. Because she’s already shattered one.
⠀
Evgenia’s crazy dream isn’t an accolade or accomplishment. It isn't written in a record book. It’s written on her heart. #justdoit","4,373,320",/BvRrKwJFBE0/,1,nike
